uf,estado,casos,mortes,suspeitos,recusados,data,carga_timestamp
SP,São Paulo,6650301,180978,5334,596,2023-08-11,2025-05-04 19:39:19.591628
MG,Minas Gerais,4209719,65740,925,104,2023-08-11,2025-05-04 19:39:19.591628
RS,Rio Grande do Sul,3051755,42428,416,330,2023-08-11,2025-05-04 19:39:19.591628
PR,Paraná,2949869,46450,400,119,2023-08-11,2025-05-04 19:39:19.591628
RJ,Rio de Janeiro,2822569,77367,1254,148,2023-08-11,2025-05-04 19:39:19.591628
SC,Santa Catarina,2028954,22859,346,47,2023-08-11,2025-05-04 19:39:19.591628
GO,Goiás,1949272,28311,353,55,2023-08-11,2025-05-04 19:39:19.591628
BA,Bahia,1805388,31696,573,36,2023-08-11,2025-05-04 19:39:19.591628
CE,Ceará,1470946,28211,493,89,2023-08-11,2025-05-04 19:39:19.591628
ES,Espírito Santo,1339090,15107,71,21,2023-08-11,2025-05-04 19:39:19.591628
PE,Pernambuco,1191503,23012,89,23,2023-08-11,2025-05-04 19:39:19.591628
DF,Distrito Federal,911135,11871,327,107,2023-08-11,2025-05-04 19:39:19.591628
MT,Mato Grosso,886763,15139,45,8,2023-08-11,2025-05-04 19:39:19.591628
PA,Pará,884181,19146,43,23,2023-08-11,2025-05-04 19:39:19.591628
PB,Paraíba,712789,10575,85,11,2023-08-11,2025-05-04 19:39:19.591628
AM,Amazonas,637301,14481,18,26,2023-08-11,2025-05-04 19:39:19.591628
MS,Mato Grosso do Sul,615459,11085,93,26,2023-08-11,2025-05-04 19:39:19.591628
RN,Rio Grande do Norte,592076,8993,108,22,2023-08-11,2025-05-04 19:39:19.591628
MA,Maranhão,496960,11078,125,13,2023-08-11,2025-05-04 19:39:19.591628
RO,Rondônia,487941,7466,61,2,2023-08-11,2025-05-04 19:39:19.591628
PI,Piauí,433438,8393,12,2,2023-08-11,2025-05-04 19:39:19.591628
TO,Tocantins,371606,4245,13,0,2023-08-11,2025-05-04 19:39:19.591628
SE,Sergipe,363112,6535,15,11,2023-08-11,2025-05-04 19:39:19.591628
AL,Alagoas,340853,7300,43,22,2023-08-11,2025-05-04 19:39:19.591628
AP,Amapá,186293,2169,15,0,2023-08-11,2025-05-04 19:39:19.591628
RR,Roraima,185825,2199,9,0,2023-08-11,2025-05-04 19:39:19.591628
AC,Acre,163959,2063,12,0,2023-08-11,2025-05-04 19:39:19.591628
